id,sku_spec,sjbm,origin_sjbm
1667281924856322,直边经典黑囍歡;苹果11,TPU-黑色-苹果11-囍歡,
1667281924856323,直边透明壳单身贵族;华为畅享10,TPU-透明-华为畅享10-单身贵族,
1667281924856324,直边古董白囍;苹果6plus\苹果6splus,TPU-古董白-苹果6PLUS-囍,
1667281924856325,直边古董白蓝色爱心;OPPO A8,TPU-古董白-OPPOA8-蓝色爱心,
1667281924856326,直边透明壳2;VIVOIQOONEO\Y7S,TPU-透明-VIVOIQOONEO-2308310460922,
1667281924856327,直边经典黑单身贵族;苹果6plus\苹果6splus,TPU-黑色-苹果6PLUS-单身贵族,
1667281924856328,直边经典黑囍歡;苹果7\苹果8,TPU-黑色-苹果7-囍歡,
1667281924856329,直边透明壳1;红米9A,TPU-透明-红米9A-1333587219920,
1667281924856330,直边透明壳蓝色爱心;苹果11ProMax,TPU-透明-苹果11PROMAX-蓝色爱心,
1667281924856331,直边古董白2;OPPOA11x\A11,TPU-古董白-OPPOA11X-2308310460922,
1667281924856332,直边透明壳不谈恋爱;OPPOA72\A53,TPU-透明-OPPOA72-不谈恋爱,
1667281924856333,直边透明壳囍歡;苹果12,TPU-透明-苹果12-囍歡,
1667281924856334,直边经典黑蓝色爱心;苹果11Pro,TPU-黑色-苹果11PRO-蓝色爱心,
1667281924856335,直边经典黑2;苹果6,TPU-黑色-苹果6-2308310460922,
1667281924856336,直边经典黑单身贵族;苹果X,TPU-黑色-苹果X-单身贵族,
1667281924856337,直边经典黑囍;苹果X\苹果XS,TPU-黑色-苹果X-囍,
1667281924856338,直边透明壳红色爱心;苹果13mini,TPU-透明-苹果13MINI-红色爱心,
1667281924856339,直边古董白1;OPPOR11,TPU-古董白-OPPOR11-1308310460922,
1667281924856340,直边古董白不谈恋爱;vivoY85,TPU-古董白-VIVOY85-不谈恋爱,
1667281924856341,直边经典黑囍歡;vivoY52s\IQ00U3,TPU-黑色-VIVOY52S-囍歡,
1667281924856342,直边经典黑蓝色爱心;苹果xsmax,TPU-黑色-苹果XSMAX-蓝色爱心,
1667281924856343,直边古董白2;vivoY3\Y3S\U3X,TPU-古董白-VIVOY3-2308310460922,
1667281924856344,直边经典黑1;苹果11,TPU-黑色-苹果11-1333587219920,
1667281924856345,直边古董白红色爱心;苹果xr,TPU-古董白-苹果XR-红色爱心,
1667281924856346,直边透明壳1;OPPOA5,TPU-透明-OPPOA5-1308310460922,
1667281924856347,直边透明壳1;vivoX27,TPU-透明-VIVOX27-1333587219920,
1667281924856348,直边经典黑蓝色爱心;OPPO定制(型号告诉客服备注),TPU-黑色--蓝色爱心,
1667281924856349,直边古董白2;vivoX9,TPU-古董白-VIVOX9-2308310460922,
1667281924856350,直边古董白1;vivoY85,TPU-古董白-VIVOY85-1333587219920,
1667281924856351,直边透明壳红色爱心;苹果12,TPU-透明-苹果12-红色爱心,
1667281924856352,直边经典黑1;苹果6plus\苹果6splus,TPU-黑色-苹果6PLUS-1308310460922,
1667281924856353,直边透明壳1;苹果7\苹果8,TPU-透明-苹果7-1333587219920,
1667281924856354,直边透明壳蓝色爱心;VIVO Y93,TPU-透明-VIVOY93-蓝色爱心,
1667281924856355,直边经典黑2;苹果7\苹果8,TPU-黑色-苹果7-2308310460922,
1667281924856356,直边透明壳2;苹果7plus\苹果8plus,TPU-透明-苹果7PLUS-2333587219920,
1667281924856357,直边透明壳红色爱心;OPPO定制(型号告诉客服备注),TPU-透明--红色爱心,
1667281924856358,直边古董白2;OPPOR15,TPU-古董白-OPPOR15-2308310460922,
1667281924856359,直边透明壳2;OPPOA5,TPU-透明-OPPOA5-2333587219920,
1667281924856360,直边古董白红色爱心;苹果13Pro,TPU-古董白-苹果13PRO-红色爱心,
1667281924856361,直边透明壳囍歡;华为畅享10,TPU-透明-华为畅享10-囍歡,
1667281924856362,直边透明壳单身贵族;苹果6,TPU-透明-苹果6-单身贵族,
1667281924856363,直边经典黑蓝色爱心;苹果13mini,TPU-黑色-苹果13MINI-蓝色爱心,
1667281924856364,直边透明壳苦;苹果定制（型号必须告诉客服）,TPU-透明--苦,
1667281924856365,直边透明壳蓝色爱心;苹果13mini,TPU-透明-苹果13MINI-蓝色爱心,
1667281924856366,直边透明壳不谈恋爱;苹果13,TPU-透明-苹果13-不谈恋爱,
1667281924889089,直边经典黑囍歡;苹果XSMax,TPU-黑色-苹果XSMAX-囍歡,
1667281924889090,直边古董白1;定制（其它型号需备注）,TPU-古董白--1308310460922,
1667281924889091,直边古董白红色爱心;OPPO A8,TPU-古董白-OPPOA8-红色爱心,
1667281924889092,直边透明壳2;vivoY30\IQ00U1X,TPU-透明-VIVOY30-2333587219920,
1667281924889093,直边透明壳2;OPPOReno6,TPU-透明-OPPORENO6-2308310460922,
1667281924889094,直边经典黑红色爱心;华为定制(型号告诉客服备注),TPU-黑色--红色爱心,
1667281924889095,直边透明壳2;华为畅享10,TPU-透明-华为畅享10-2333587219920,
1667281924889096,直边透明壳2;苹果XSMax,TPU-透明-苹果XSMAX-2308310460922,
1667281924889097,直边透明壳蓝色爱心;苹果 XPLUS,TPU-透明-苹果X-蓝色爱心,
1667281924889098,直边经典黑1;vivoY70s\Y51S,TPU-黑色-VIVOY70S-1333587219920,
1667281924889099,直边古董白1;苹果13ProMax,TPU-古董白-苹果13PROMAX-1308310460922,
1667281924889100,直边经典黑2;VIVOIQOONEO\Y7S,TPU-黑色-VIVOIQOONEO-2333587219920,
1667281924889101,直边经典黑囍歡;苹果6plus\苹果6splus,TPU-黑色-苹果6PLUS-囍歡,
1667281924889102,直边古董白2;苹果XSMax,TPU-古董白-苹果XSMAX-2308310460922,
1667281924889103,直边经典黑2;小米1A,TPU-黑色--2333587219920,
1667281924889104,直边透明壳囍歡;小米定制（型号必须告诉客服）,TPU-透明--囍歡,
1667281924889105,直边古董白2;vivoY30\IQ00U1X,TPU-古董白-VIVOY30-2308310460922,
1667281924889106,直边古董白1;OPPOA11x\A11,TPU-古董白-OPPOA11X-1333587219920,
1667281924889107,直边古董白苦;OPPOA11x\A11,TPU-古董白-OPPOA11X-苦,
1667281924889108,直边透明壳1;VIVOIQOONEO\Y7S,TPU-透明-VIVOIQOONEO-1308310460922,
1667281924889109,直边经典黑1;苹果XSMax,TPU-黑色-苹果XSMAX-1333587219920,
1667281924889110,直边古董白囍;苹果XSMax,TPU-古董白-苹果XSMAX-囍,
1667281924889111,直边经典黑1;vivoX9,TPU-黑色-VIVOX9-1308310460922,
1667281924889112,直边经典黑1;OPPOA9\A9X,TPU-黑色-OPPOA9-1333587219920,
1667281924889113,直边经典黑苦;苹果XSMax,TPU-黑色-苹果XSMAX-苦,
1667281924889114,直边经典黑2;vivoY85,TPU-黑色-VIVOY85-2308310460922,
1667281924889115,直边透明壳1;vivoY3\Y3S\U3X,TPU-透明-VIVOY3-1333587219920,
1667281924889116,直边透明壳囍;苹果13,TPU-透明-苹果13-囍,
1667281924889117,直边古董白1;vivoY30\IQ00U1X,TPU-古董白-VIVOY30-1308310460922,
1667281924889118,直边透明壳2;苹果XSMax,TPU-透明-苹果XSMAX-2333587219920,
1667281924889119,直边透明壳囍;苹果7plus\苹果8plus,TPU-透明-苹果7PLUS-囍,
1667281924889120,直边古董白2;OPPOA5,TPU-古董白-OPPOA5-2308310460922,
1667281924889121,直边古董白2;OPPOReno6,TPU-古董白-OPPORENO6-2333587219920,
1667281924889122,直边透明壳囍歡;定制（其它型号需备注）,TPU-透明--囍歡,
1667281924889124,直边古董白1;vivoY93\y93s,TPU-古董白-VIVOY93-1308310460922,
1667281924889125,直边透明壳1;vivoY85,TPU-透明-VIVOY85-1333587219920,
1667281924889126,直边古董白苦;苹果11,TPU-古董白-苹果11-苦,
1667281924889127,直边古董白1;OPPOA55,TPU-古董白-OPPOA55-1308310460922,
1667281924889128,直边经典黑1;华为畅享10,TPU-黑色-华为畅享10-1333587219920,
1667281924889129,直边经典黑囍歡;OPPOA9\A9X,TPU-黑色-OPPOA9-囍歡,
1667281924889130,直边经典黑1;vivoY5s,TPU-黑色-VIVOY5S-1308310460922,
1667281924889131,直边透明壳1;OPPOA55,TPU-透明-OPPOA55-1333587219920,
1667281924889132,直边透明壳囍;vivoY70s\Y51S,TPU-透明-VIVOY70S-囍,
1667281924889133,直边透明壳1;苹果XSMax,TPU-透明-苹果XSMAX-1308310460922,
1667281924889134,直边经典黑苦;苹果6plus\苹果6splus,TPU-黑色-苹果6PLUS-苦,
1667281924889135,直边经典黑2;OPPOA55,TPU-黑色-OPPOA55-2308310460922,
1667281924889136,直边透明壳2;红米K40,TPU-透明-红米K40-2308310460922,
1667281924889137,直边古董白1;vivoX27,TPU-古董白-VIVOX27-1308310460922,
1667281924921858,直边透明壳单身贵族;OPPOR15,TPU-透明-OPPOR15-单身贵族,
1667281924921859,直边透明壳单身贵族;vivoY30\IQ00U1X,TPU-透明-VIVOY30-单身贵族,
1667281924921860,直边经典黑2;vivoY30\IQ00U1X,TPU-黑色-VIVOY30-2308310460922,
1667281924921861,直边透明壳蓝色爱心;苹果11,TPU-透明-苹果11-蓝色爱心,
1667281924921862,直边古董白2;红米K40,TPU-古董白-红米K40-2333587219920,
1667281924921863,直边透明壳2;vivoX27,TPU-透明-VIVOX27-2308310460922,
1667281924921864,直边透明壳囍歡;OPPOA9\A9X,TPU-透明-OPPOA9-囍歡,
1667281924921865,直边经典黑不谈恋爱;苹果11,TPU-黑色-苹果11-不谈恋爱,
1667281924921866,直边经典黑2;OPPOA5,TPU-黑色-OPPOA5-2333587219920,
1667281924921867,直边古董白2;华为畅享10,TPU-古董白-华为畅享10-2308310460922,
1667281924921868,直边古董白单身贵族;小米1A,TPU-古董白--单身贵族,
1667281924921869,直边经典黑囍;小米定制（型号必须告诉客服）,TPU-黑色--囍,
1667281924921870,直边透明壳1;定制（其它型号需备注）,TPU-透明--1333587219920,
1667281924921871,直边经典黑1;vivoY70s\Y51S,TPU-黑色-VIVOY70S-1308310460922,
1667281924921872,直边透明壳不谈恋爱;vivoX9,TPU-透明-VIVOX9-不谈恋爱,
1667281924921873,直边透明壳蓝色爱心;苹果xsmax,TPU-透明-苹果XSMAX-蓝色爱心,
1667281924921874,直边经典黑2;vivoY83,TPU-黑色-VIVOY83-2333587219920,
1667281924921875,直边透明壳1;vivoY70s\Y51S,TPU-透明-VIVOY70S-1308310460922,
1667281924921876,直边古董白单身贵族;苹果13ProMax,TPU-古董白-苹果13PROMAX-单身贵族,
1667281924921877,直边经典黑蓝色爱心;苹果x,TPU-黑色-苹果X-蓝色爱心,
1667281924921878,直边经典黑1;红米9A,TPU-黑色-红米9A-1333587219920,
1667281924921879,直边透明壳1;vivoY5s,TPU-透明-VIVOY5S-1308310460922,
1667281924921880,直边经典黑不谈恋爱;OPPOR11,TPU-黑色-OPPOR11-不谈恋爱,
1667281924921881,直边古董白2;定制（其它型号需备注）,TPU-古董白--2333587219920,
1667281924921882,直边经典黑囍歡;OPPOA11x\A11,TPU-黑色-OPPOA11X-囍歡,
1667281924921883,直边透明壳1;苹果11,TPU-透明-苹果11-1308310460922,
1667281924938242,直边经典黑不谈恋爱;vivoY5s,TPU-黑色-VIVOY5S-不谈恋爱,
1667281924938243,直边透明壳2;OPPOR15,TPU-透明-OPPOR15-2333587219920,
1667281924938244,直边经典黑囍歡;小米1A,TPU-黑色--囍歡,
1667281924938245,直边经典黑单身贵族;OPPOReno6,TPU-黑色-OPPORENO6-单身贵族,
1667281924938246,直边透明壳囍歡;vivoY52s\IQ00U3,TPU-透明-VIVOY52S-囍歡,
1667281924938247,直边古董白单身贵族;OPPOA72\A53,TPU-古董白-OPPOA72-单身贵族,
1667281924942338,直边透明壳囍歡;小米1A,TPU-透明--囍歡,
1667281924942339,直边透明壳蓝色爱心;苹果12ProMax,TPU-透明-苹果12PROMAX-蓝色爱心,
1667281924942340,直边透明壳苦;华为畅享10,TPU-透明-华为畅享10-苦,
1667281924942341,直边经典黑红色爱心;苹果xr,TPU-黑色-苹果XR-红色爱心,
1667281924942342,直边古董白囍歡;vivoY30\IQ00U1X,TPU-古董白-VIVOY30-囍歡,
1667281924942343,直边透明壳红色爱心;VIVO定制(型号告诉客服备注),TPU-透明--红色爱心,
1667281924942344,直边古董白单身贵族;红米K40,TPU-古董白-红米K40-单身贵族,
1667281924942345,直边古董白囍歡;vivoY5s,TPU-古董白-VIVOY5S-囍歡,
1667281924942346,直边经典黑红色爱心;苹果xsmax,TPU-黑色-苹果XSMAX-红色爱心,
1667281924942347,直边经典黑单身贵族;OPPOA11x\A11,TPU-黑色-OPPOA11X-单身贵族,
1667281924942348,直边经典黑9;红米9A,TPU-黑色-红米9A-9318098616896,
1667281924942349,直边古董白囍歡;OPPOA9\A9X,TPU-古董白-OPPOA9-囍歡,
1667281924942350,直边透明壳单身贵族;OPPOR11,TPU-透明-OPPOR11-单身贵族,
1667281924942351,直边透明壳红色爱心;VIVO Y93,TPU-透明-VIVOY93-红色爱心,
1667281924950530,直边古董白1;苹果XSMax,TPU-古董白-苹果XSMAX-1333587219920,
1667281924950531,直边古董白囍;华为定制（型号必须告诉客服）,TPU-古董白--囍,
1667281924950532,直边经典黑2;苹果11,TPU-黑色-苹果11-2308310460922,
1667281924950533,直边古董白1;vivoY5s,TPU-古董白-VIVOY5S-1333587219920,
1667281924950534,直边透明壳2;vivoY85,TPU-透明-VIVOY85-2308310460922,
1667281924950535,直边古董白蓝色爱心;VIVO Y93,TPU-古董白-VIVOY93-蓝色爱心,
1667281924950536,直边古董白不谈恋爱;vivoY5s,TPU-古董白-VIVOY5S-不谈恋爱,
1667281924950537,直边古董白1;vivoY93\y93s,TPU-古董白-VIVOY93-1333587219920,
1667281924950538,直边透明壳苦;OPPOA5,TPU-透明-OPPOA5-苦,
1667281924950539,直边经典黑2;vivoX27,TPU-黑色-VIVOX27-2308310460922,
1667281924950540,直边经典黑蓝色爱心;苹果6/苹果6s,TPU-黑色-苹果6-蓝色爱心,
1667281924950541,直边古董白苦;OPPOA9\A9X,TPU-古董白-OPPOA9-苦,
1667281924950542,直边经典黑1;OPPOReno6,TPU-黑色-OPPORENO6-1308310460922,
1667281924950543,直边经典黑红色爱心;VIVO Y93,TPU-黑色-VIVOY93-红色爱心,
1667281924950544,直边透明壳1;vivoiQOOZ3,TPU-透明-VIVOIQOOZ3-1308310460922,
1667281924950545,直边透明壳囍;定制（其它型号需备注）,TPU-透明--囍,
1667281924958721,直边古董白红色爱心;VIVO定制(型号告诉客服备注),TPU-古董白--红色爱心,
1667281924958722,直边古董白2;vivoY83,TPU-古董白-VIVOY83-2333587219920,
1667281924958723,直边古董白6;苹果7\苹果8,TPU-古董白-苹果7-6318098616896,
1667281924958724,直边经典黑囍歡;vivoY3\Y3S\U3X,TPU-黑色-VIVOY3-囍歡,
1667281924958725,直边经典黑红色爱心;苹果13ProMax,TPU-黑色-苹果13PROMAX-红色爱心,
1667281924962818,直边经典黑1;苹果7plus\苹果8plus,TPU-黑色-苹果7PLUS-1333587219920,
1667281924962819,直边经典黑6;OPPOA11x\A11,TPU-黑色-OPPOA11X-6318098616896,
1667281924962820,直边透明壳苦;苹果12,TPU-透明-苹果12-苦,
1667281924962821,直边古董白2;苹果6,TPU-古董白-苹果6-2333587219920,
1667281924962822,直边古董白2;OPPOA55,TPU-古董白-OPPOA55-2308310460922,
1667281924962823,直边透明壳不谈恋爱;苹果7plus\苹果8plus,TPU-透明-苹果7PLUS-不谈恋爱,
1667281924962824,直边经典黑红色爱心;苹果12Pro,TPU-黑色-苹果12PRO-红色爱心,
1667281924962825,直边古董白2;vivoY30\IQ00U1X,TPU-古董白-VIVOY30-2333587219920,
1667281924966913,直边透明壳1;苹果12,TPU-透明-苹果12-1308310460922,
1667281924966914,直边经典黑单身贵族;vivoY83,TPU-黑色-VIVOY83-单身贵族,
1667281924966915,直边古董白2;苹果13,TPU-古董白-苹果13-2333587219920,
1667281924966916,直边古董白1;苹果13,TPU-古董白-苹果13-1308310460922,
1667281924966917,直边古董白不谈恋爱;OPPOA72\A53,TPU-古董白-OPPOA72-不谈恋爱,
1667281924966918,直边古董白2;OPPOA9\A9X,TPU-古董白-OPPOA9-2333587219920,
1667281924966919,直边经典黑1;vivoY83,TPU-黑色-VIVOY83-1308310460922,
1667281924966920,直边透明壳1;OPPOR11,TPU-透明-OPPOR11-1333587219920,
1667281924966921,直边经典黑单身贵族;vivoX27,TPU-黑色-VIVOX27-单身贵族,
1667281924971009,直边透明壳不谈恋爱;OPPOReno6,TPU-透明-OPPORENO6-不谈恋爱,
1667281924971010,直边古董白1;苹果6plus\苹果6splus,TPU-古董白-苹果6PLUS-1308310460922,
1667281924971011,直边经典黑不谈恋爱;OPPOA32,TPU-黑色-OPPOA32-不谈恋爱,
1667281924971012,直边透明壳1;红米9A,TPU-透明-红米9A-1308310460922,
1667281924971013,直边古董白单身贵族;苹果7\苹果8,TPU-古董白-苹果7-单身贵族,
1667281924971014,直边古董白1;vivoY3\Y3S\U3X,TPU-古董白-VIVOY3-1308310460922,
1667281924971015,直边古董白蓝色爱心;苹果13ProMax,TPU-古董白-苹果13PROMAX-蓝色爱心,
1667281924971016,直边古董白苦;VIVO定制（型号必须告诉客服）,TPU-古董白--苦,
1667281924971017,直边经典黑1;vivoY83,TPU-黑色-VIVOY83-1333587219920,
1667281924971018,直边透明壳8;苹果11,TPU-透明-苹果11-8318098616896,
1667281924975105,直边古董白2;苹果13,TPU-古董白-苹果13-2308310460922,
1667281924975106,直边经典黑2;苹果11,TPU-黑色-苹果11-2333587219920,
1667281924975107,直边透明壳单身贵族;VIVOIQOONEO\Y7S,TPU-透明-VIVOIQOONEO-单身贵族,
1667281924975108,直边古董白9;苹果7plus\苹果8plus,TPU-古董白-苹果7PLUS-9318098616896,
1667281924975109,直边透明壳2;苹果7plus\苹果8plus,TPU-透明-苹果7PLUS-2308310460922,
1667281924979201,直边经典黑2;vivoY85,TPU-黑色-VIVOY85-2333587219920,
1667281924979202,直边经典黑3;红米K40,TPU-黑色-红米K40-3318098616896,
1667281924979203,直边经典黑1;OPPOR11,TPU-黑色-OPPOR11-1308310460922,
1667281924979204,直边经典黑不谈恋爱;vivoY85,TPU-黑色-VIVOY85-不谈恋爱,
1667281924979205,直边经典黑苦;苹果12,TPU-黑色-苹果12-苦,
1667281924979206,直边古董白红色爱心;苹果x,TPU-古董白-苹果X-红色爱心,
1667281924979207,直边经典黑9;苹果6plus\苹果6splus,TPU-黑色-苹果6PLUS-9318098616896,
1667281924979208,直边古董白2;vivoiQOOZ3,TPU-古董白-VIVOIQOOZ3-2333587219920,
1667281924979209,直边透明壳不谈恋爱;vivoiQOOZ3,TPU-透明-VIVOIQOOZ3-不谈恋爱,
1667281924979210,直边经典黑2;红米K40,TPU-黑色-红米K40-2308310460922,
1667281924979211,直边经典黑囍;小米1A,TPU-黑色--囍,
1667281924979212,直边古董白1;苹果7plus\苹果8plus,TPU-古董白-苹果7PLUS-1333587219920,
1667281924979213,直边透明壳2;OPPOR15,TPU-透明-OPPOR15-2308310460922,
1667281924979214,直边经典黑苦;苹果X\苹果XS,TPU-黑色-苹果X-苦,
1667281924979215,直边经典黑2;OPPOA55,TPU-黑色-OPPOA55-2333587219920,
1667281924979216,直边古董白1;苹果12,TPU-古董白-苹果12-1308310460922,
1667281924979217,直边经典黑囍;OPPOA32,TPU-黑色-OPPOA32-囍,
1667281924979218,直边透明壳1;华为畅享10,TPU-透明-华为畅享10-1308310460922,
1667281924979219,直边透明壳囍歡;苹果6,TPU-透明-苹果6-囍歡,
1667281924991489,直边经典黑2;苹果6plus\苹果6splus,TPU-黑色-苹果6PLUS-2308310460922,
1667281924991490,直边经典黑囍歡;华为畅享10,TPU-黑色-华为畅享10-囍歡,
1667281924991491,直边透明壳1;OPPOReno6,TPU-透明-OPPORENO6-1308310460922,
1667281924991492,直边经典黑囍歡;苹果13ProMax,TPU-黑色-苹果13PROMAX-囍歡,
1667281924991493,直边古董白2;红米K40,TPU-古董白-红米K40-2308310460922,
1667281924991494,直边经典黑苦;华为畅玩20,TPU-黑色-荣耀畅玩20-苦,
1667281924991495,直边透明壳单身贵族;定制（其它型号需备注）,TPU-透明--单身贵族,
1667281924991496,直边古董白蓝色爱心;OPPO定制(型号告诉客服备注),TPU-古董白--蓝色爱心,
1667281924991497,直边经典黑1;红米9A,TPU-黑色-红米9A-1318098616896,
1667281924991498,直边经典黑1;红米9A,TPU-黑色-红米9A-1308310460922,
1667281924991499,直边古董白苦;苹果13Pro,TPU-古董白-苹果13PRO-苦,
1667281924991500,直边经典黑蓝色爱心;VIVO定制(型号告诉客服备注),TPU-黑色--蓝色爱心,
1667281924991501,直边透明壳2;vivoY30\IQ00U1X,TPU-透明-VIVOY30-2308310460922,
1667281924991502,直边古董白囍歡;OPPOA72\A53,TPU-古董白-OPPOA72-囍歡,
1667281924991503,直边透明壳2;OPPOA8,TPU-透明-OPPOA8-2318098616896,
1667281924991504,直边透明壳不谈恋爱;vivoY70s\Y51S,TPU-透明-VIVOY70S-不谈恋爱,
